Localidad,Latitud,Longitud
Aduana El Loa,-22.9105609,-68.1997157
Algarrobo,-33.369172,-71.6680533
Alhué,-34.0370862,-71.0844986
Alto del Carmen,-28.7596711,-70.4861108
Alto Hospicio,-20.2700478,-70.1009162
Ancud,-41.8682162,-73.8287225
Andacollo,-30.2322048,-71.0847556
Angol,-37.798787,-72.7086097
Antofagasta,-23.6463741,-70.3980033
Antuco,-37.3299761,-71.6791766
Arauco,-37.246248,-73.3176399
Arica,-18.4785288,-70.3211394
Bahía Mansa,-40.5843291,-73.7307971
Baquedano,-45.5711804,-72.0684863
Boyeruca,-34.6884508,-72.0502723
Bucalemu,-32.8101633,-70.6851339
Buin,-33.7319741,-70.7419619
Bulnes,-36.7422507,-72.2987216
Cabildo,-32.4265909,-71.0663299
Cabrero,-37.0358293,-72.4026797
Calama,-22.4623917,-68.9272181
Calbuco,-41.7712143,-73.1275379
Caldera,-27.0675545,-70.8222047
Calera de Tango,-33.6309419,-70.7593202
Camar,-23.4072492,-67.9611583
Camarones,-18.9633718,-69.7151907
Camiña,-19.313081,-69.4266968
Cancosa,-19.8555437,-68.6015329
Canela,-31.4643996,-71.4349157
Cañete,-37.8004074,-73.3990802
Carahue,-38.7115844,-73.1651699
Carrizal Bajo,-28.0817778,-71.1477777
Cartagena,-33.5468491,-71.6031708
Casablanca,-33.3205864,-71.4100762
Castro,-42.482375,-73.7642918
Cauquenes,-35.9671286,-72.315427
Cerro Castillo,-51.2562493,-72.3446885
Cerro Navia,-33.4252778,-70.7461548
Chaitén,-42.9165335,-72.7084192
Chanco,-35.7341836,-72.5331642
Chañaral,-26.347934,-70.6223617
Chépica,-34.7285856,-71.2738582
Chiguayante,-36.9292478,-73.0237115
Chile Chico,-46.5396625,-71.7245816
Chillán,-36.6066616,-72.1033194
Chimbarongo,-34.708953,-71.0403642
Cholchol,-38.6025592,-72.8476626
Chonchi,-42.6239756,-73.7724416
Chuquicamata,-22.3171446,-68.9303083
Cobquecura,-36.1317572,-72.7915423
Cochrane,-47.2541656,-72.5732128
Codegua,-34.0377,-70.6565422
Codpa,-18.833472,-69.7442148
Coelemu,-36.4876004,-72.7023316
Coinco,-34.2699359,-70.9515801
Colbún,-35.6960057,-71.4060907
Colina,-33.202472,-70.6749147
Collahuasi,-22.4365772,-68.9216032
Collipulli,-37.9566312,-72.4374375
Coltauco,-34.2862794,-71.0825729
Combarbalá,-31.1781518,-71.0024382
Concepción,-36.8270698,-73.0502064
Conchalí,-33.3843234,-70.6747382
Concón,-32.9220036,-71.5159565
Constitución,-35.3318306,-72.4118998
Contulmo,-38.0160243,-73.2286034
Coñaripe,-39.567853,-72.007417
Copiapó,-27.3664685,-70.3322753
Coquimbo,-30.7546652,-70.9005536
Coronel,-37.0164712,-73.1561953
Corral,-39.8877399,-73.4314543
Coyhaique,-45.5711804,-72.0684863
Curacautín,-38.4372985,-71.8883419
Curacaví,-33.4022289,-71.1293733
Curaco de Vélez,-42.4396611,-73.6028415
Curanilahue,-37.4758037,-73.3457069
Curanipe,-35.8452538,-72.636357
Curepto,-35.0937166,-72.0180794
Curicó,-34.985368,-71.2393705
Cuya,-19.1401644,-70.1592132
Dalcahue,-42.3795533,-73.6472998
Diego de Almagro,-26.3910794,-70.0459281
Domeyko,-28.9551341,-70.8933332
Doñihue,-34.226074,-70.9648916
El Bosque,-33.5561468,-70.6655679
El Carmen,-36.897855,-72.0246149
El Loa,-40.5743116,-73.1727402
El Monte,-33.6783192,-70.9782465
El Quisco,-33.400311,-71.693998
El Salvador,-26.2462114,-69.6259658
El Tabo,-33.4545847,-71.669107
Empedrado,-35.5907772,-72.2776205
Entre Lagos,-40.6835571,-72.6039988
Ercilla,-38.0609055,-72.3754686
Estación Central,-33.4536375,-70.6898654
Florida,-36.8253041,-72.6614469
Freire,-38.9514242,-72.6254333
Freirina,-28.5086484,-71.0785719
Fresia,-41.1531405,-73.4223148
Frutillar,-41.1258462,-73.0604738
Futrono,-40.131196,-72.3826602
Galvarino,-38.4111234,-72.7812506
Gorbea,-39.1032067,-72.6759888
Graneros,-34.0644743,-70.7262983
Hualaihue,-42.1948455,-72.3377589
Hualañé,-34.9774855,-71.8012086
Hualpén,-36.7927608,-73.0943414
Hualqui,-36.9759363,-72.9383874
Huara,-19.9957872,-69.7727034
Huasco,-28.4651248,-71.2207947
Illapel,-31.6326932,-71.1683039
Iloca,-34.9336612,-72.1801552
Independencia,-33.422295,-70.6554648
Inio,-43.3623877,-74.1228836
Iquique,-20.2140657,-70.1524646
Isla de Maipo,-33.7537387,-70.9039325
La Boca,-33.9242824,-71.8462686
La Calera,-32.788981,-71.203546
La Cisterna,-33.5346265,-70.6644024
La Estrella,-34.2052857,-71.6546039
La Florida,-33.5204181,-70.6006178
La Granja,-33.5431234,-70.6332426
La Higuera,-29.511595,-71.2015007
La Junta,-43.9721171,-72.4053016
La Ligua,-32.4496375,-71.2316695
La Reina,-33.442282,-70.5432729
La Serena,-29.902631,-71.2520253
La Tirana,-20.3359256,-69.6564201
La Unión,-40.2952392,-73.0820366
Lago Ranco,-40.3216708,-72.4813502
Laguna Blanca,-52.4270382,-71.4141605
Laja,-37.2795106,-72.7149212
Lampa,-33.2895953,-70.8705255
Lanco,-39.4522225,-72.7754222
Las Cabras,-34.2670234,-70.793581
Las Condes,-33.4084548,-70.5671489
Las Lozas,-25.8927223,-70.6408562
Lautaro,-38.534312,-72.4350504
Lebu,-37.6102279,-73.656055
Licantén,-34.9856892,-71.9845873
Limache,-33.0018741,-71.2657315
Linares,-35.8452905,-71.5977173
Litueche,-34.1154229,-71.7296864
Llaillay,-32.8429976,-70.9524687
Llanquihue,-41.2575704,-73.0047428
Llay Llay,-32.8429976,-70.9524687
Llico,-37.1981493,-73.5648656
Lo Barnechea,-33.2942878,-70.3904841
Lolol,-34.727836,-71.6440839
Loncoche,-39.370616,-72.6300704
Los Álamos,-37.6271305,-73.4618419
Los Andes,-32.8336867,-70.5981609
Los Ándes,-32.8336867,-70.5981609
Los Ángeles,-37.4707455,-72.351686
Los Lagos,-42.300844,-73.105387
Los Loros,-32.8600689,-70.8954835
Los Muermos,-41.3960568,-73.4617177
Los Sauces,-37.9829562,-72.8291829
Los Vilos,-31.9121725,-71.5138659
Lota,-37.0944533,-73.1564024
Lumaco,-38.1653241,-72.9063975
Machalí,-34.182453,-70.6511584
Macul,-33.4821635,-70.5991929
Máfil,-39.6659792,-72.9521276
Maipu,-33.5094409,-70.756182
Malloa,-34.4421408,-70.9440652
Mamiña,-20.0720391,-69.2169753
Marchigüe,-34.400088,-71.6182815
María Elena,-22.3451485,-69.6618035
María Pinto,-33.5159823,-71.1200324
Mariquina,-39.4971612,-73.0420738
Maule,-35.5972284,-71.48868
Maullín,-41.6160139,-73.5950711
Mehuín,-39.4426544,-73.2129689
Mejillones,-23.1002342,-70.4483076
Melinka,-43.8975173,-73.7463997
Melipeuco,-38.8532381,-71.6950139
Melipilla,-33.6855134,-71.2145796
Molina,-35.1139703,-71.2799798
Monte Patria,-30.6944769,-70.9579593
Mostazal,-33.9468526,-70.5981024
Mulchén,-37.7200873,-72.2441318
Nacimiento,-37.5018293,-72.67311
Nancagua,-34.6527427,-71.1953819
Natales,-51.7295251,-72.4738605
Navidad,-33.9536044,-71.8305775
Negrete,-37.5856678,-72.5292643
Ninhue,-36.3935896,-72.3976432
Nogales,-32.736381,-71.2002438
Nueva Imperial,-38.7453101,-72.9519984
Ñuñoa,-33.4543164,-70.5936358
Olivar,-34.2094366,-70.8172288
Ollagüe,-21.2240535,-68.2535085
Olmué,-32.9956184,-71.186211
Osorno,-40.5736955,-73.1358091
Ovalle,-30.6030819,-71.2029894
Padre Hurtado,-33.5673051,-70.8020467
Padre Las Casas,-38.7674245,-72.5956312
Paihuano,-30.0290417,-70.5164414
Paillaco,-40.0706633,-72.8726695
Paine,-33.8101102,-70.7390236
Palena,-43.6178268,-71.8039587
Palmilla,-34.5960542,-71.3624782
Panguipulli,-39.6419909,-72.3333801
Papudo,-32.50759,-71.4459354
Paredones,-34.6476395,-71.9008463
Parral,-36.1414293,-71.8222221
Pelarco,-35.3836634,-71.4469824
Pelluhue,-35.8150199,-72.576959
Pencahue,-35.3961663,-71.7993745
Penco,-36.7385838,-72.9937749
Peñaflor,-33.6058638,-70.8785306
Peñalolén,-33.4765918,-70.5418308
Peralillo,-34.4780273,-71.4793203
Perquenco,-38.4212493,-72.3778344
Petorca,-32.251699,-70.9309103
Peumo,-34.3959163,-71.1694264
Pica,-20.4911417,-69.3290752
Pichidangui,-32.1396358,-71.5271605
Pichidegua,-34.3584097,-71.282715
Pichilemu,-34.3851693,-72.0046606
Pisagua,-19.5972044,-70.2132743
Pitrufquén,-38.9862884,-72.63725
Placilla,-34.6385927,-71.1173651
Poconchile,-18.4519077,-70.066753
Portezuelo,-36.5274395,-72.4285292
Potrerillos,-32.6856368,-71.3872879
Pozo Almonte,-20.2597061,-69.7861372
Puchuncaví,-32.7259856,-71.4150065
Pucón,-39.2731173,-71.9777605
Pudahuel,-33.4193729,-70.8633561
Puente Negro,-34.6860235,-70.8723926
Puerto Aguirre,-45.1641639,-73.522341
Puerto Aysén,-45.4068167,-72.6976787
Puerto Cisnes,-44.7272567,-72.680463
Puerto Guadal,-46.8445724,-72.7042872
Puerto Montt,-41.471798,-72.9395915
Puerto Natales,-51.7262003,-72.5059982
Puerto Octay,-40.97276,-72.8842171
Puerto Raul Marin Balmaceda,-43.7771432,-72.9521283
Puerto Saavedra,-38.7923166,-73.3968651
Puerto Varas,-41.317802,-72.9829073
Puerto Williams,-54.9357749,-67.6062504
Pumanque,-34.6048141,-71.654681
Punitaqui,-30.8337532,-71.2573637
Punta Arenas,-53.1625688,-70.907822
Punta de Choros,-29.247073,-71.4616231
Puqueldón,-42.5992585,-73.6762714
Purén,-38.0332836,-73.0725938
Putaendo,-32.6260768,-70.7167642
Putre,-18.1963825,-69.5592242
Puyuhuapi,-44.3252094,-72.5584277
Quebrada Blanca,-22.9604439,-67.0520366
Queilén,-42.8898582,-73.472062
Quellón,-43.1200305,-73.6203025
Quemchi,-42.1445307,-73.4735593
Queule,-39.3982606,-73.2104351
Quilaco,-37.6841271,-72.0054893
Quilicura,-33.3600426,-70.7118564
Quillagua,-21.6600426,-69.5349515
Quillón,-36.7443758,-72.4764427
Quillota,-32.879997,-71.2473555
Quilpué,-33.0498135,-71.4415282
Quinchao,-42.5326884,-73.2744747
Quinta Normal,-33.4282307,-70.6999357
Quintero,-32.7840217,-71.5283361
Quirihue,-36.2827085,-72.5408101
Rancagua,-34.1702433,-70.740718
Ránquil,-36.6398547,-72.6037277
Renaico,-37.671709,-72.5832643
Rengo,-34.4088744,-70.8616583
Requínoa,-34.2848586,-70.8175128
Retiro,-36.0554429,-71.7650623
Río Hurtado,-30.452222,-70.6801885
Rio Verde,-52.9455498,-72.6512719
Romeral,-34.9599696,-71.1253134
Sagrada Familia,-34.9990365,-71.3817116
Salamanca,-31.7804674,-70.9649896
San Antonio,-33.5808615,-71.6132377
San Bernardo,-33.5922859,-70.7045838
San Carlos,-36.4248192,-71.9581208
San Clemente,-35.5375459,-71.4858841
San Esteban,-32.7990544,-70.5795811
San Fabián,-36.6534313,-71.2078734
San Felipe,-32.750687,-70.7252688
San Fernando,-34.583791,-70.989122
San Javier,-35.5923933,-71.735308
San Joaquín,-33.4942329,-70.6284983
San José de Maipo,-33.6403975,-70.3527845
San Juan de la Costa,-40.4930895,-73.5391077
San Miguel,-33.4859746,-70.6495465
San Miguel de Azapa,-18.5183473,-70.1771824
San Nicolás,-36.5034254,-72.2123751
San Pedro,-33.8943545,-71.4563149
San Pedro de Atacama,-22.910832,-68.2001376
San Pedro de la Paz,-36.8414183,-73.1039909
San Rosendo,-37.2631356,-72.7239564
San Vicente de Tagua Tagua,-34.4392675,-71.07679
Santa Cruz,-34.6403243,-71.3661297
Santa Juana,-37.1737794,-72.94259
Santa María,-32.7478749,-70.6567375
Santiago,-33.4377756,-70.6504502
Sierra Gorda,-22.8916766,-69.3200101
Talagante,-33.6644388,-70.9302778
Talca,-35.4265343,-71.6660322
Talcahuano,-36.7144863,-73.1141087
Taltal,-25.4078293,-70.4858424
Temuco,-38.7358908,-72.590538
Teno,-34.8667952,-71.1612202
Teodoro Schmidt,-38.9967454,-73.0891844
Tierra Amarilla,-27.4680505,-70.2649307
Tiltil,-33.0852808,-70.9293877
Timaukel,-54.1570931,-69.3779651
Tirúa,-38.3438662,-73.4934808
Toconao,-23.1905207,-68.0070405
Tocopilla,-22.0887189,-70.1960657
Toltén,-39.2143585,-73.0499304
Tomé,-36.6170801,-72.9575043
Tongoy,-30.2572163,-71.492858
Torres del Paine,-51.0827249,-72.9254451
Traiguen,-38.250816,-72.6668798
Trehuaco,-36.4323456,-72.6152748
Tucapel,-37.2925581,-71.9495236
Ujina,-20.9702959,-68.6262167
Valdivia,-39.8141262,-73.2459859
Vallenar,-28.5750438,-70.7616398
Valparaíso,-33.0458456,-71.6196749
Vichuqén,-34.8815616,-71.9945589
Victoria,-38.2339494,-72.3316568
Vicuña,-30.0340482,-70.7126702
Vilcún,-38.6703956,-72.2240806
Villa Alegre,-35.6752031,-71.7446702
Villa Alemana,-33.0441903,-71.3725464
Villa Las Estrellas,-27.3835026,-70.3003379
Villarrica,-39.2780911,-72.2274364
Viña del Mar,-33.0244535,-71.5517636
Visviri,-17.5947669,-69.4815536
Yerbas Buenas,-35.7464128,-71.5820799
Yumbel,-37.0978676,-72.5622801
Yungay,-37.1193665,-72.0188531
Zapallar,-32.5528294,-71.4588181
